feature,max,min,mean
домен во внешне добавляемом титульнике,,,
домен с внешне добавляемыми авторскими правами,,,
ввод/вывод во внешне добавляемом коде,0.6023514632070212,0.001,0.006090414058146624
фишинговые слова во внешне добавляемом,,,
внешне добавляемый объем текста,,,
срок регистрации домена,0.1115344114328695,0.001,0.012465984630748128
домен зарегистрирован,0.999,0.001,0.9025874673629245
рейтинг по Alexa,0.999,0.001,0.6778658999084959
рейтинг по openpagerank,0.999,0.001,0.24824720391644908
времени действия сертификата,0.999,0.001,0.3075598798111934
срок действия сертификата,0.999,0.001,0.1922112410791993
кол-во альтернативных имен,0.7203187134502923,0.001,0.020374031385033513
